Subject,TestGroup,Split,Classifier,Y_True,Y_Pred
365,V2,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
365,V2,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
365,V2,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
365,V2,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
365,V2,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
365,V2,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'N']"
365,V2,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
365,V2,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
365,V2,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'N']"
365,V3,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N', 'S', 'S']"
365,V3,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N', 'S', 'N']"
365,V3,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N', 'S', 'N']"
365,V3,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N', 'S', 'S']"
365,V3,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
365,V3,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'N', 'N']"
365,V3,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
365,V3,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
365,V3,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'S', 'N', 'S']"
365,V3,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'S', 'S']"
365,V3,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'S']"
365,V3,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'S']"
365,V3,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
365,V3,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
365,V3,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
365,V3,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
365,V3,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
365,V3,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
365,V3,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
365,V3,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
382,V1,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
382,V1,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
382,V1,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S', 'N', 'N']"
382,V1,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
382,V1,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
382,V1,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N']"
382,V1,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N']"
382,V1,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
382,V1,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
382,V1,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N']"
382,V1,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'N']"
382,V1,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'N', 'N']"
382,V1,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
382,V1,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
382,V1,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
382,V1,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
382,V1,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N']"
382,V1,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'N']"
382,V1,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'N']"
382,V1,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N']"
382,V2,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S', 'S', 'N']"
382,V2,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
382,V2,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S', 'S', 'N']"
382,V2,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S', 'S', 'N']"
382,V2,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
382,V2,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
382,V2,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
382,V2,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
382,V2,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
382,V2,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'S']"
382,V2,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
382,V2,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
382,V2,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'S', 'N', 'N']"
382,V2,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
382,V2,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
382,V2,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
382,V2,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
382,V2,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'N', 'N']"
382,V2,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'N', 'N']"
382,V2,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'N', 'N']"
382,V3,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N', 'N', 'N']"
382,V3,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'N', 'N', 'S', 'N', 'N', 'N']"
382,V3,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'N', 'N']"
382,V3,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N', 'N', 'N']"
382,V3,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
382,V3,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'N', 'N']"
382,V3,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'N', 'N']"
382,V3,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
382,V3,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'N', 'N']"
382,V3,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'N', 'N']"
382,V3,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'S', 'N', 'N']"
382,V3,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'N', 'N']"
382,V3,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'N']"
382,V3,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
382,V3,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'N']"
382,V3,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'N']"
382,V3,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'S']"
382,V3,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
382,V3,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'S']"
382,V3,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'S']"
553,V1,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S', 'N', 'N']"
553,V1,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'S', 'S', 'N']"
553,V1,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'S', 'S', 'S', 'N']"
553,V1,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S', 'S', 'S']"
553,V1,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
553,V1,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'N']"
553,V1,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'S']"
553,V1,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
553,V1,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'N', 'N']"
553,V1,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'N', 'N']"
553,V1,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
553,V1,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'N']"
553,V1,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'N', 'N']"
553,V1,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'S']"
553,V1,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'N']"
553,V1,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'N', 'N']"
553,V1,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
553,V1,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'S', 'S', 'N']"
553,V1,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
553,V1,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
553,V2,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N', 'S', 'N']"
553,V2,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N', 'S', 'S']"
553,V2,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N', 'S', 'N']"
553,V2,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N', 'S', 'S']"
553,V2,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
553,V2,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'N']"
553,V2,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
553,V2,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N']"
553,V2,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
553,V2,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'S', 'N']"
553,V2,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
553,V2,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
553,V2,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'S', 'S']"
553,V2,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'N']"
553,V2,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
553,V2,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
553,V2,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N']"
553,V2,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'S', 'S']"
553,V2,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'N']"
553,V2,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'S', 'N', 'S', 'N']"
553,V3,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'S', 'N']"
553,V3,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N', 'S', 'N']"
553,V3,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'N', 'S', 'S']"
553,V3,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'S', 'N']"
553,V3,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'N']"
553,V3,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'S', 'N']"
553,V3,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
553,V3,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'N']"
553,V3,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
553,V3,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
553,V3,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
553,V3,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
553,V3,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
553,V3,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'N']"
553,V3,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N']"
553,V3,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'S', 'S']"
553,V3,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
553,V3,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N']"
553,V3,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'N']"
553,V3,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N']"
584,V1,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'N', 'N', 'S', 'N']"
584,V1,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N', 'S', 'S']"
584,V1,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N', 'S', 'N']"
584,V1,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N', 'S', 'N']"
584,V1,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'N', 'N']"
584,V1,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'N']"
584,V1,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'N']"
584,V1,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'N', 'N']"
584,V1,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'S']"
584,V1,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'N']"
584,V1,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'N']"
584,V1,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'S', 'S']"
584,V1,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'N']"
584,V1,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'S', 'N', 'S', 'N']"
584,V1,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'S', 'N', 'S', 'N']"
584,V1,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'S', 'N', 'S', 'N']"
584,V1,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V1,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'N']"
584,V1,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V1,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V2,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'S', 'N', 'S', 'N', 'S']"
584,V2,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S', 'S', 'N']"
584,V2,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'N', 'S', 'S', 'N']"
584,V2,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'N', 'N', 'N', 'S', 'S', 'N']"
584,V2,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
584,V2,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
584,V2,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'S']"
584,V2,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'N']"
584,V2,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
584,V2,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V2,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'S', 'S']"
584,V2,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V2,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'N', 'N', 'S', 'S']"
584,V2,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
584,V2,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
584,V2,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'N', 'N', 'S', 'S']"
584,V2,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
584,V2,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'N', 'N', 'S', 'N']"
584,V2,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N']"
584,V2,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'S']"
584,V3,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N', 'S', 'S']"
584,V3,0,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'N', 'S', 'N', 'S', 'N']"
584,V3,0,SVM,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'N', 'N', 'S', 'S']"
584,V3,0,Correlation,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'N', 'N', 'S', 'S', 'S', 'S']"
584,V3,1,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
584,V3,1,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V3,1,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'N', 'S', 'S', 'S']"
584,V3,1,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'S', 'S', 'S']"
584,V3,2,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'S', 'S', 'S', 'N', 'S']"
584,V3,2,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'S']"
584,V3,2,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'S']"
584,V3,2,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'S']"
584,V3,3,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N']"
584,V3,3,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'N', 'N', 'N']"
584,V3,3,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
584,V3,3,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['S', 'N', 'S', 'S', 'N', 'N']"
584,V3,4,kNN,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
584,V3,4,sklearn_logistic_reg,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'N', 'N', 'N']"
584,V3,4,SVM,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'N', 'S']"
584,V3,4,Correlation,"['S', 'N', 'S', 'N', 'S', 'N']","['N', 'N', 'S', 'S', 'S', 'S']"
602,V1,0,kNN,"['S', 'N', 'S', 'N', 'S', 'N', 'S', 'N']","['S', 'S', 'S', 'N', 'S', 'N', 'S', 'S']"
